algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,50000,21,0.000000050
buscaBinariaIterativa,50000,22,0.000000060
buscaBinariaIterativa,50000,23,0.000000050
buscaBinariaIterativa,50000,24,0.000000050
buscaBinariaIterativa,50000,25,0.000000060
buscaBinariaIterativa,50000,26,0.000000050
buscaBinariaIterativa,50000,27,0.000000050
buscaBinariaIterativa,50000,28,0.000000050
buscaBinariaIterativa,50000,29,0.000000050
buscaBinariaIterativa,50000,30,0.000000050
buscaBinariaIterativa,50000,31,0.000000050
buscaBinariaIterativa,50000,32,0.000000050
buscaBinariaIterativa,50000,33,0.000000050
buscaBinariaIterativa,50000,34,0.000000050
buscaBinariaIterativa,50000,35,0.000000050
buscaBinariaIterativa,50000,36,0.000000050
buscaBinariaIterativa,50000,37,0.000000050
buscaBinariaIterativa,50000,38,0.000000060
buscaBinariaIterativa,50000,39,0.000000051
buscaBinariaIterativa,50000,40,0.000000050
buscaBinariaIterativa,50000,41,0.000000050
buscaBinariaIterativa,50000,42,0.000000050
buscaBinariaIterativa,50000,43,0.000000050
buscaBinariaIterativa,50000,44,0.000000050
buscaBinariaIterativa,50000,45,0.000000050
buscaBinariaIterativa,50000,46,0.000000050
buscaBinariaIterativa,50000,47,0.000000050
buscaBinariaIterativa,50000,48,0.000000050
buscaBinariaIterativa,50000,49,0.000000050
buscaBinariaIterativa,50000,50,0.000000051
buscaBinariaIterativa,50000,51,0.000000050
buscaBinariaIterativa,50000,52,0.000000050
buscaBinariaIterativa,50000,53,0.000000060
buscaBinariaIterativa,50000,54,0.000000050
buscaBinariaIterativa,50000,55,0.000000050
buscaBinariaIterativa,50000,56,0.000000050
buscaBinariaIterativa,50000,57,0.000000050
buscaBinariaIterativa,50000,58,0.000000051
buscaBinariaIterativa,50000,59,0.000000060
buscaBinariaIterativa,50000,60,0.000000050
buscaBinariaIterativa,50000,61,0.000000050
buscaBinariaIterativa,50000,62,0.000000050
buscaBinariaIterativa,50000,63,0.000000050
buscaBinariaIterativa,50000,64,0.000000050
buscaBinariaIterativa,50000,65,0.000000050
buscaBinariaIterativa,50000,66,0.000000051
buscaBinariaIterativa,50000,67,0.000000050
buscaBinariaIterativa,50000,68,0.000000050
buscaBinariaIterativa,50000,69,0.000000050
buscaBinariaIterativa,50000,70,0.000000050
buscaBinariaIterativa,50000,71,0.000000050
buscaBinariaIterativa,50000,72,0.000000050
buscaBinariaIterativa,50000,73,0.000000050
buscaBinariaIterativa,50000,74,0.000000050
buscaBinariaIterativa,50000,75,0.000000050
buscaBinariaIterativa,50000,76,0.000000050
buscaBinariaIterativa,50000,77,0.000000051
buscaBinariaIterativa,50000,78,0.000000050
buscaBinariaIterativa,50000,79,0.000000050
buscaBinariaIterativa,50000,80,0.000000050
buscaBinariaIterativa,50000,81,0.000000050
buscaBinariaIterativa,50000,82,0.000000050
buscaBinariaIterativa,50000,83,0.000000050
buscaBinariaIterativa,50000,84,0.000000050
buscaBinariaIterativa,50000,85,0.000000051
buscaBinariaIterativa,50000,86,0.000000050
buscaBinariaIterativa,50000,87,0.000000050
buscaBinariaIterativa,50000,88,0.000000050
buscaBinariaIterativa,50000,89,0.000000050
buscaBinariaIterativa,50000,90,0.000000050
buscaBinariaIterativa,50000,91,0.000000050
buscaBinariaIterativa,50000,92,0.000000050
buscaBinariaIterativa,50000,93,0.000000050
buscaBinariaIterativa,50000,94,0.000000060
buscaBinariaIterativa,50000,95,0.000000050
buscaBinariaIterativa,50000,96,0.000000050
buscaBinariaIterativa,50000,97,0.000000050
buscaBinariaIterativa,50000,98,0.000000050
buscaBinariaIterativa,50000,99,0.000000050
buscaBinariaIterativa,50000,100,0.000000050
buscaBinariaIterativa,100000,1,0.000000070
buscaBinariaIterativa,100000,2,0.000000081
buscaBinariaIterativa,100000,3,0.000000060
buscaBinariaIterativa,100000,4,0.000000050
buscaBinariaIterativa,100000,5,0.000000060
buscaBinariaIterativa,100000,6,0.000000060
buscaBinariaIterativa,100000,7,0.000000050
buscaBinariaIterativa,100000,8,0.000000051
buscaBinariaIterativa,100000,9,0.000000060
buscaBinariaIterativa,100000,10,0.000000060
buscaBinariaIterativa,100000,11,0.000000050
buscaBinariaIterativa,100000,12,0.000000050
buscaBinariaIterativa,100000,13,0.000000050
buscaBinariaIterativa,100000,14,0.000000050
buscaBinariaIterativa,100000,15,0.000000061
buscaBinariaIterativa,100000,16,0.000000050
buscaBinariaIterativa,100000,17,0.000000050
buscaBinariaIterativa,100000,18,0.000000050
buscaBinariaIterativa,100000,19,0.000000050
buscaBinariaIterativa,100000,20,0.000000050
buscaBinariaIterativa,100000,21,0.000000050
buscaBinariaIterativa,100000,22,0.000000050
buscaBinariaIterativa,100000,23,0.000000051
buscaBinariaIterativa,100000,24,0.000000050
buscaBinariaIterativa,100000,25,0.000000050
buscaBinariaIterativa,100000,26,0.000000060
buscaBinariaIterativa,100000,27,0.000000050
